549127 | 691 | 1266 | -26 | 0 | 0 | 0
549132 | 688 | 1150 | -26 | 0 | 0 | 0
549137 | 682 | 1254 | -26 | 0 | 0 | 0
549143 | 679 | 982 | -26 | 0 | 0 | 0
549148 | 678 | 895 | -26 | 0 | 0 | 0
549153 | 673 | 1103 | -26 | 0 | 0 | 0
549158 | 656 | 978 | -26 | 0 | 0 | 0
549164 | 660 | 1017 | -26 | 0 | 0 | 0
549169 | 643 | 913 | -26 | 0 | 0 | 0
549174 | 633 | 952 | -26 | 0 | 0 | 0
549180 | 623 | 1120 | -26 | 0 | 0 | 0
549185 | 613 | 1189 | -26 | 0 | 0 | 0
549190 | 603 | 1425 | -26 | 0 | 0 | 0
549196 | 610 | 1064 | -26 | 0 | 0 | 0
549201 | 633 | 909 | -26 | 0 | 0 | 0
549206 | 646 | 861 | -26 | 0 | 0 | 0
549212 | 653 | 1002 | -26 | 0 | 0 | 0
549217 | 661 | 671 | -26 | 0 | 0 | 0
549222 | 661 | 990 | -26 | 0 | 0 | 0
549227 | 660 | 849 | -26 | 0 | 0 | 0
549233 | 657 | 1273 | -27 | 0 | 0 | 0
549238 | 655 | 1470 | -27 | 0 | 0 | 0
549243 | 654 | 1471 | -27 | 0 | 0 | 0
549249 | 650 | 1205 | -27 | 0 | 0 | 0
549254 | 647 | 1073 | -27 | 0 | 0 | 0
549259 | 642 | 1190 | -27 | 0 | 0 | 0
549265 | 636 | 1321 | -27 | 0 | 0 | 0
549270 | 632 | 1291 | -27 | 0 | 0 | 0
549275 | 628 | 1185 | -27 | 0 | 0 | 0
549281 | 613 | 1030 | -28 | 0 | 0 | 0
549286 | 602 | 1210 | -28 | 0 | 0 | 0
549291 | 598 | 1007 | -28 | 0 | 0 | 0
549297 | 591 | 1010 | -28 | 0 | 0 | 0
549302 | 572 | 1060 | -28 | 0 | 0 | 0
549307 | 568 | 1162 | -28 | 0 | 0 | 0
549312 | 566 | 1278 | -29 | 0 | 0 | 0
549318 | 555 | 1095 | -29 | 0 | 0 | 0
549323 | 536 | 1171 | -29 | 0 | 0 | 0
549328 | 537 | 1153 | -29 | 0 | 0 | 0
549334 | 532 | 1195 | -29 | 0 | 0 | 0
549339 | 527 | 1140 | -29 | 0 | 0 | 0
549344 | 525 | 1313 | -29 | 0 | 0 | 0
549350 | 522 | 1240 | -29 | 0 | 0 | 0
549355 | 518 | 1216 | -30 | 0 | 0 | 0
549360 | 510 | 824 | -30 | 0 | 0 | 0
549366 | 505 | 839 | -30 | 0 | 0 | 0
549371 | 499 | 933 | -30 | 0 | 0 | 0
549376 | 491 | 1053 | -30 | 0 | 0 | 0
549382 | 484 | 1121 | -30 | 0 | 0 | 0
549387 | 480 | 993 | -30 | 0 | 0 | 0
549392 | 481 | 1165 | -30 | 0 | 0 | 0
549397 | 489 | 1129 | -30 | 0 | 0 | 0
549403 | 479 | 1176 | -30 | 0 | 0 | 0
549408 | 529 | 1102 | -30 | 0 | 0 | 0
549413 | 514 | 1244 | -30 | 0 | 0 | 0
549419 | 497 | 837 | -30 | 0 | 0 | 0
549424 | 530 | 1002 | -30 | 0 | 0 | 0
549429 | 565 | 1078 | -30 | 0 | 0 | 0
549435 | 571 | 1041 | -30 | 0 | 0 | 0
549440 | 568 | 1134 | -30 | 0 | 0 | 0
549445 | 558 | 903 | -30 | 0 | 0 | 0
549451 | 552 | 1066 | -30 | 0 | 0 | 0
549456 | 541 | 1100 | -30 | 0 | 0 | 0
549461 | 525 | 980 | -30 | 0 | 0 | 0
549467 | 517 | 1031 | -30 | 0 | 0 | 0
549472 | 508 | 658 | -30 | 0 | 0 | 0
549477 | 501 | 737 | -30 | 0 | 0 | 0
549482 | 483 | 701 | -30 | 0 | 0 | 0
549488 | 485 | 963 | -30 | 0 | 0 | 0
549493 | 485 | 1015 | -30 | 0 | 0 | 0
549498 | 483 | 761 | -31 | 0 | 0 | 0
